#EXPORTTYPE:           ,DATA ALL                                                                             
#FILE:                 ,oligHawk001sam1.ngb-sle                                                              
#FORMAT:               ,NETZSCH5                                                                             
#FTYPE:                ,ANSI                                                                                 
#IDENTITY:             ,hawkmine 001                                                                         
#DECIMAL:              ,POINT                                                                                
#SEPARATOR:            ,COMMA                                                                                
#MTYPE:                ,DIL                                                                                  
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                     
#PROJECT:              ,feldspar                                                                             
#DATE/TIME:            ,8/23/2019 9:50:19 AM (UTC-5)                                                         
#CORR. FILE:           ,                                                                                     
#TEMPCAL:              ,TCALZERO.TMX                                                                         
#LABORATORY:           ,Mineral Physics                                                                      
#OPERATOR:             ,PAG                                                                                  
#REMARK:               ,bare, norm start, for short plageioclase,hawk mine trapezoid 001 face,short direction
#SAMPLE:               ,oligioclase hawk                                                                     
#SAMPLE LENGTH /mm:    ,7.035                                                                                
#MATERIAL:             ,sapphire stnd                                                                        
#MEASMODE:             ,Standard Expansion                                                                   
#PURGE GAS 1:          ,ARGON                                                                                
#FLOW RATE 1 /(ml/min):,75                                                                                   
#M.RANGE /µm:          ,500                                                                                  
#CORR. CODE:           ,010                                                                                  
#RANGE:                ,20.0°C/3.0(K/min)/1020.0°C                                                           
#SEGMENT:              ,S1/1                                                                                 
#SEG. 1:               ,20.0°C/3.0(K/min)/1020.0°C                                                           

##Temp./°C,Time/min,dL/Lo
  22.08200,  0.00000, 1.9445e-005
  22.58200,  4.29518, 8.9868e-006
  23.08200,  4.65271,-3.4658e-006
  23.58200,  4.90889,-1.4490e-005
  24.08200,  5.11868,-2.4591e-005
  24.58200,  5.30181,-3.3862e-005
  25.08200,  5.46635,-4.3277e-005
  25.58200,  5.61765,-5.1207e-005
  26.08200,  5.75909,-5.8881e-005
  26.58200,  5.89322,-6.5644e-005
  27.08200,  6.02144,-7.2358e-005
  27.58200,  6.14489,-7.8559e-005
  28.08200,  6.26468,-8.4453e-005
  28.58200,  6.38109,-8.9835e-005
  29.08200,  6.49505,-9.4249e-005
  29.58200,  6.60680,-9.8610e-005
  30.08200,  6.71672,-1.0253e-004
  30.58200,  6.82518,-1.0644e-004
  31.08200,  6.93249,-1.0953e-004
  31.58200,  7.03886,-1.1267e-004
  32.08200,  7.14450,-1.1478e-004
  32.58200,  7.24972,-1.1669e-004
  33.08200,  7.35452,-1.1858e-004
  33.58200,  7.45866,-1.2024e-004
  34.08200,  7.56261,-1.2123e-004
  34.58200,  7.66620,-1.2169e-004
  35.08200,  7.76974,-1.2184e-004
  35.58200,  7.87302,-1.2216e-004
  36.08200,  7.97608,-1.2195e-004
  36.58200,  8.07913,-1.2171e-004
  37.08200,  8.18245,-1.2040e-004
  37.58200,  8.28566,-1.1961e-004
  38.08200,  8.38894,-1.1878e-004
  38.58200,  8.49231,-1.1740e-004
  39.08200,  8.59573,-1.1566e-004
  39.58200,  8.69882,-1.1345e-004
  40.08200,  8.80187,-1.1136e-004
  40.58200,  8.90484,-1.0933e-004
  41.08200,  9.00778,-1.0750e-004
  41.58200,  9.11057,-1.0484e-004
  42.08200,  9.21299,-1.0218e-004
  42.58200,  9.31535,-9.9325e-005
  43.08200,  9.41768,-9.7147e-005
  43.58200,  9.51985,-9.4044e-005
  44.08200,  9.62202,-9.1492e-005
  44.58200,  9.72367,-8.8411e-005
  45.08200,  9.82516,-8.5528e-005
  45.58200,  9.92631,-8.2709e-005
  46.08200, 10.02710,-7.9361e-005
  46.58200, 10.12749,-7.6199e-005
  47.08200, 10.22751,-7.2923e-005
  47.58200, 10.32699,-6.9401e-005
  48.08200, 10.42613,-6.6192e-005
  48.58200, 10.52504,-6.2873e-005
  49.08200, 10.62346,-5.9722e-005
  49.58200, 10.72151,-5.6123e-005
  50.08200, 10.81936,-5.2650e-005
  50.58200, 10.91682,-4.8689e-005
  51.08200, 11.01398,-4.4996e-005
  51.58200, 11.11083,-4.1729e-005
  52.08200, 11.20735,-3.8225e-005
  52.58200, 11.30361,-3.4204e-005
  53.08200, 11.39978,-3.0740e-005
  53.58200, 11.49551,-2.6761e-005
  54.08200, 11.59101,-2.2947e-005
  54.58200, 11.68635,-1.8839e-005
  55.08200, 11.78140,-1.5447e-005
  55.58200, 11.87633,-1.1225e-005
  56.08200, 11.97104,-7.0559e-006
  56.58200, 12.06551,-2.8728e-006
  57.08200, 12.15982, 1.4318e-006
  57.58200, 12.25403, 5.4872e-006
  58.08200, 12.34827, 9.9804e-006
  58.58200, 12.44215, 1.4484e-005
  59.08200, 12.53601, 1.9001e-005
  59.58200, 12.62993, 2.3203e-005
  60.08200, 12.72369, 2.7938e-005
  60.58200, 12.81761, 3.2411e-005
  61.08200, 12.91162, 3.7603e-005
  61.58200, 13.00534, 4.2018e-005
  62.08200, 13.09903, 4.7384e-005
  62.58200, 13.19292, 5.1835e-005
  63.08200, 13.28686, 5.6853e-005
  63.58200, 13.38079, 6.2559e-005
  64.08200, 13.47485, 6.7214e-005
  64.58200, 13.56873, 7.2731e-005
  65.08200, 13.66254, 7.7754e-005
  65.58200, 13.75663, 8.2981e-005
  66.08200, 13.85065, 8.8761e-005
  66.58200, 13.94463, 9.4280e-005
  67.08200, 14.03884, 9.9701e-005
  67.58200, 14.13306, 1.0501e-004
  68.08200, 14.22748, 1.1077e-004
  68.58200, 14.32193, 1.1654e-004
  69.08200, 14.41624, 1.2191e-004
  69.58200, 14.51080, 1.2778e-004
  70.08200, 14.60526, 1.3360e-004
  70.58200, 14.69967, 1.3971e-004
  71.08200, 14.79391, 1.4638e-004
  71.58200, 14.88824, 1.5148e-004
  72.08200, 14.98241, 1.5753e-004
  72.58200, 15.07682, 1.6381e-004
  73.08200, 15.17139, 1.6986e-004
  73.58200, 15.26589, 1.7651e-004
  74.08200, 15.36055, 1.8254e-004
  74.58200, 15.45545, 1.8845e-004
  75.08200, 15.55040, 1.9391e-004
  75.58200, 15.64538, 2.0053e-004
  76.08200, 15.74063, 2.0642e-004
  76.58200, 15.83598, 2.1270e-004
  77.08200, 15.93145, 2.1903e-004
  77.58200, 16.02700, 2.2500e-004
  78.08200, 16.12239, 2.3140e-004
  78.58200, 16.21801, 2.3838e-004
  79.08200, 16.31371, 2.4547e-004
  79.58200, 16.40938, 2.5106e-004
  80.08200, 16.50498, 2.5721e-004
  80.58200, 16.60071, 2.6348e-004
  81.08200, 16.69636, 2.7042e-004
  81.58200, 16.79220, 2.7731e-004
  82.08200, 16.88796, 2.8398e-004
  82.58200, 16.98395, 2.9048e-004
  83.08200, 17.08007, 2.9715e-004
  83.58200, 17.17624, 3.0324e-004
  84.08200, 17.27247, 3.0986e-004
  84.58200, 17.36879, 3.1656e-004
  85.08200, 17.46531, 3.2327e-004
  85.58200, 17.56204, 3.2896e-004
  86.08200, 17.65882, 3.3646e-004
  86.58200, 17.75558, 3.4303e-004
  87.08200, 17.85242, 3.4917e-004
  87.58200, 17.94944, 3.5586e-004
  88.08200, 18.04647, 3.6366e-004
  88.58200, 18.14354, 3.7030e-004
  89.08200, 18.24060, 3.7703e-004
  89.58200, 18.33783, 3.8380e-004
  90.08200, 18.43537, 3.9095e-004
  90.58200, 18.53300, 3.9796e-004
  91.08200, 18.63068, 4.0486e-004
  91.58200, 18.72850, 4.1135e-004
  92.08200, 18.82637, 4.1839e-004
  92.58200, 18.92452, 4.2557e-004
  93.08200, 19.02267, 4.3285e-004
  93.58200, 19.12081, 4.3979e-004
  94.08200, 19.21898, 4.4649e-004
  94.58200, 19.31730, 4.5340e-004
  95.08200, 19.41604, 4.6062e-004
  95.58200, 19.51515, 4.6826e-004
  96.08200, 19.61443, 4.7468e-004
  96.58200, 19.71352, 4.8137e-004
  97.08200, 19.81279, 4.8876e-004
  97.58200, 19.91202, 4.9644e-004
  98.08200, 20.01142, 5.0365e-004
  98.58200, 20.11078, 5.1060e-004
  99.08200, 20.21019, 5.1797e-004
  99.58200, 20.30937, 5.2488e-004
 100.08200, 20.40870, 5.3229e-004
 100.58200, 20.50820, 5.3967e-004
 101.08200, 20.60775, 5.4652e-004
 101.58200, 20.70737, 5.5316e-004
 102.08200, 20.80692, 5.6077e-004
 102.58200, 20.90658, 5.6803e-004
 103.08200, 21.00636, 5.7548e-004
 103.58200, 21.10641, 5.8271e-004
 104.08200, 21.20646, 5.9024e-004
 104.58200, 21.30675, 5.9753e-004
 105.08200, 21.40702, 6.0538e-004
 105.58200, 21.50735, 6.1232e-004
 106.08200, 21.60755, 6.1934e-004
 106.58200, 21.70796, 6.2661e-004
 107.08200, 21.80833, 6.3387e-004
 107.58200, 21.90874, 6.4157e-004
 108.08200, 22.00912, 6.4843e-004
 108.58200, 22.10954, 6.5600e-004
 109.08200, 22.21018, 6.6375e-004
 109.58200, 22.31099, 6.7067e-004
 110.08200, 22.41186, 6.7823e-004
 110.58200, 22.51290, 6.8504e-004
 111.08200, 22.61422, 6.9276e-004
 111.58200, 22.71576, 7.0001e-004
 112.08200, 22.81747, 7.0705e-004
 112.58200, 22.91930, 7.1486e-004
 113.08200, 23.02117, 7.2241e-004
 113.58200, 23.12318, 7.2979e-004
 114.08200, 23.22526, 7.3719e-004
 114.58200, 23.32732, 7.4431e-004
 115.08200, 23.42952, 7.5151e-004
 115.58200, 23.53173, 7.5882e-004
 116.08200, 23.63398, 7.6604e-004
 116.58200, 23.73643, 7.7368e-004
 117.08200, 23.83898, 7.8126e-004
 117.58200, 23.94165, 7.8814e-004
 118.08200, 24.04435, 7.9551e-004
 118.58200, 24.14675, 8.0279e-004
 119.08200, 24.24940, 8.1023e-004
 119.58200, 24.35199, 8.1807e-004
 120.08200, 24.45469, 8.2544e-004
 120.58200, 24.55741, 8.3288e-004
 121.08200, 24.66014, 8.4015e-004
 121.58200, 24.76296, 8.4724e-004
 122.08200, 24.86610, 8.5500e-004
 122.58200, 24.96928, 8.6247e-004
 123.08200, 25.07246, 8.6955e-004
 123.58200, 25.17586, 8.7684e-004
 124.08200, 25.27930, 8.8471e-004
 124.58200, 25.38283, 8.9279e-004
 125.08200, 25.48612, 8.9942e-004
 125.58200, 25.58936, 9.0721e-004
 126.08200, 25.69269, 9.1465e-004
 126.58200, 25.79613, 9.2210e-004
 127.08200, 25.89936, 9.3014e-004
 127.58200, 26.00252, 9.3748e-004
 128.08200, 26.10569, 9.4463e-004
 128.58200, 26.20938, 9.5266e-004
 129.08200, 26.31316, 9.6018e-004
 129.58200, 26.41691, 9.6755e-004
 130.08200, 26.52089, 9.7503e-004
 130.58200, 26.62499, 9.8308e-004
 131.08200, 26.72926, 9.9025e-004
 131.58200, 26.83361, 9.9779e-004
 132.08200, 26.93806, 1.0057e-003
 132.58200, 27.04268, 1.0132e-003
 133.08200, 27.14744, 1.0212e-003
 133.58200, 27.25214, 1.0288e-003
 134.08200, 27.35684, 1.0363e-003
 134.58200, 27.46174, 1.0442e-003
 135.08200, 27.56671, 1.0521e-003
 135.58200, 27.67134, 1.0591e-003
 136.08200, 27.77611, 1.0672e-003
 136.58200, 27.88112, 1.0742e-003
 137.08200, 27.98630, 1.0820e-003
 137.58200, 28.09135, 1.0897e-003
 138.08200, 28.19669, 1.0970e-003
 138.58200, 28.30195, 1.1043e-003
 139.08200, 28.40750, 1.1124e-003
 139.58200, 28.51279, 1.1200e-003
 140.08200, 28.61811, 1.1277e-003
 140.58200, 28.72354, 1.1353e-003
 141.08200, 28.82915, 1.1429e-003
 141.58200, 28.93468, 1.1503e-003
 142.08200, 29.04031, 1.1583e-003
 142.58200, 29.14590, 1.1656e-003
 143.08200, 29.25174, 1.1736e-003
 143.58200, 29.35756, 1.1817e-003
 144.08200, 29.46349, 1.1897e-003
 144.58200, 29.56954, 1.1971e-003
 145.08200, 29.67552, 1.2046e-003
 145.58200, 29.78174, 1.2122e-003
 146.08200, 29.88803, 1.2197e-003
 146.58200, 29.99427, 1.2272e-003
 147.08200, 30.10068, 1.2354e-003
 147.58200, 30.20713, 1.2431e-003
 148.08200, 30.31340, 1.2502e-003
 148.58200, 30.41977, 1.2580e-003
 149.08200, 30.52623, 1.2657e-003
 149.58200, 30.63270, 1.2729e-003
 150.08200, 30.73914, 1.2812e-003
 150.58200, 30.84543, 1.2882e-003
 151.08200, 30.95192, 1.2965e-003
 151.58200, 31.05870, 1.3046e-003
 152.08200, 31.16541, 1.3119e-003
 152.58200, 31.27235, 1.3199e-003
 153.08200, 31.37929, 1.3276e-003
 153.58200, 31.48639, 1.3348e-003
 154.08200, 31.59381, 1.3420e-003
 154.58200, 31.70119, 1.3503e-003
 155.08200, 31.80868, 1.3574e-003
 155.58200, 31.91625, 1.3653e-003
 156.08200, 32.02389, 1.3733e-003
 156.58200, 32.13174, 1.3812e-003
 157.08200, 32.23946, 1.3891e-003
 157.58200, 32.34724, 1.3968e-003
 158.08200, 32.45527, 1.4044e-003
 158.58200, 32.56324, 1.4123e-003
 159.08200, 32.67155, 1.4194e-003
 159.58200, 32.77980, 1.4272e-003
 160.08200, 32.88832, 1.4355e-003
 160.58200, 32.99653, 1.4431e-003
 161.08200, 33.10477, 1.4516e-003
 161.58200, 33.21304, 1.4586e-003
 162.08200, 33.32143, 1.4664e-003
 162.58200, 33.42959, 1.4740e-003
 163.08200, 33.53785, 1.4821e-003
 163.58200, 33.64625, 1.4897e-003
 164.08200, 33.75468, 1.4969e-003
 164.58200, 33.86299, 1.5046e-003
 165.08200, 33.97152, 1.5130e-003
 165.58200, 34.07998, 1.5205e-003
 166.08200, 34.18842, 1.5283e-003
 166.58200, 34.29705, 1.5356e-003
 167.08200, 34.40572, 1.5439e-003
 167.58200, 34.51448, 1.5515e-003
 168.08200, 34.62323, 1.5593e-003
 168.58200, 34.73200, 1.5672e-003
 169.08200, 34.84105, 1.5746e-003
 169.58200, 34.94999, 1.5823e-003
 170.08200, 35.05918, 1.5904e-003
 170.58200, 35.16834, 1.5977e-003
 171.08200, 35.27765, 1.6057e-003
 171.58200, 35.38705, 1.6135e-003
 172.08200, 35.49654, 1.6207e-003
 172.58200, 35.60591, 1.6286e-003
 173.08200, 35.71531, 1.6364e-003
 173.58200, 35.82469, 1.6445e-003
 174.08200, 35.93413, 1.6518e-003
 174.58200, 36.04365, 1.6602e-003
 175.08200, 36.15342, 1.6674e-003
 175.58200, 36.26302, 1.6758e-003
 176.08200, 36.37259, 1.6827e-003
 176.58200, 36.48240, 1.6903e-003
 177.08200, 36.59242, 1.6986e-003
 177.58200, 36.70231, 1.7062e-003
 178.08200, 36.81219, 1.7140e-003
 178.58200, 36.92213, 1.7218e-003
 179.08200, 37.03250, 1.7294e-003
 179.58200, 37.14297, 1.7374e-003
 180.08200, 37.25335, 1.7449e-003
 180.58200, 37.36385, 1.7525e-003
 181.08200, 37.47450, 1.7602e-003
 181.58200, 37.58495, 1.7684e-003
 182.08200, 37.69553, 1.7763e-003
 182.58200, 37.80621, 1.7840e-003
 183.08200, 37.91677, 1.7917e-003
 183.58200, 38.02748, 1.7994e-003
 184.08200, 38.13826, 1.8070e-003
 184.58200, 38.24927, 1.8146e-003
 185.08200, 38.36041, 1.8224e-003
 185.58200, 38.47149, 1.8301e-003
 186.08200, 38.58251, 1.8379e-003
 186.58200, 38.69364, 1.8454e-003
 187.08200, 38.80479, 1.8534e-003
 187.58200, 38.91592, 1.8605e-003
 188.08200, 39.02705, 1.8685e-003
 188.58200, 39.13833, 1.8759e-003
 189.08200, 39.24966, 1.8837e-003
 189.58200, 39.36124, 1.8913e-003
 190.08200, 39.47288, 1.8992e-003
 190.58200, 39.58465, 1.9067e-003
 191.08200, 39.69653, 1.9146e-003
 191.58200, 39.80846, 1.9225e-003
 192.08200, 39.92037, 1.9300e-003
 192.58200, 40.03219, 1.9365e-003
 193.08200, 40.14416, 1.9445e-003
 193.58200, 40.25602, 1.9522e-003
 194.08200, 40.36800, 1.9598e-003
 194.58200, 40.48001, 1.9678e-003
 195.08200, 40.59225, 1.9754e-003
 195.58200, 40.70449, 1.9830e-003
 196.08200, 40.81683, 1.9912e-003
 196.58200, 40.92925, 1.9985e-003
 197.08200, 41.04171, 2.0060e-003
 197.58200, 41.15431, 2.0138e-003
 198.08200, 41.26688, 2.0219e-003
 198.58200, 41.37958, 2.0300e-003
 199.08200, 41.49246, 2.0376e-003
 199.58200, 41.60532, 2.0455e-003
 200.08200, 41.71868, 2.0527e-003
 200.58200, 41.83216, 2.0608e-003
 201.08200, 41.94577, 2.0686e-003
 201.58200, 42.05937, 2.0766e-003
 202.08200, 42.17315, 2.0839e-003
 202.58200, 42.28735, 2.0917e-003
 203.08200, 42.40127, 2.0999e-003
 203.58200, 42.51489, 2.1071e-003
 204.08200, 42.62849, 2.1147e-003
 204.58200, 42.74235, 2.1226e-003
 205.08200, 42.85631, 2.1305e-003
 205.58200, 42.97013, 2.1379e-003
 206.08200, 43.08391, 2.1460e-003
 206.58200, 43.19796, 2.1539e-003
 207.08200, 43.31210, 2.1613e-003
 207.58200, 43.42614, 2.1693e-003
 208.08200, 43.54024, 2.1770e-003
 208.58200, 43.65444, 2.1848e-003
 209.08200, 43.76852, 2.1923e-003
 209.58200, 43.88275, 2.1999e-003
 210.08200, 43.99718, 2.2079e-003
 210.58200, 44.11169, 2.2153e-003
 211.08200, 44.22615, 2.2225e-003
 211.58200, 44.34069, 2.2309e-003
 212.08200, 44.45553, 2.2387e-003
 212.58200, 44.57041, 2.2461e-003
 213.08200, 44.68544, 2.2535e-003
 213.58200, 44.80038, 2.2616e-003
 214.08200, 44.91541, 2.2691e-003
 214.58200, 45.03049, 2.2770e-003
 215.08200, 45.14570, 2.2846e-003
 215.58200, 45.26099, 2.2927e-003
 216.08200, 45.37648, 2.3000e-003
 216.58200, 45.49213, 2.3076e-003
 217.08200, 45.60790, 2.3152e-003
 217.58200, 45.72379, 2.3231e-003
 218.08200, 45.83959, 2.3309e-003
 218.58200, 45.95518, 2.3387e-003
 219.08200, 46.07056, 2.3466e-003
 219.58200, 46.18608, 2.3548e-003
 220.08200, 46.30162, 2.3619e-003
 220.58200, 46.41724, 2.3695e-003
 221.08200, 46.53300, 2.3773e-003
 221.58200, 46.64917, 2.3851e-003
 222.08200, 46.76554, 2.3924e-003
 222.58200, 46.88191, 2.4003e-003
 223.08200, 46.99832, 2.4083e-003
 223.58200, 47.11505, 2.4165e-003
 224.08200, 47.23165, 2.4241e-003
 224.58200, 47.34821, 2.4316e-003
 225.08200, 47.46501, 2.4394e-003
 225.58200, 47.58185, 2.4472e-003
 226.08200, 47.69885, 2.4552e-003
 226.58200, 47.81552, 2.4626e-003
 227.08200, 47.93230, 2.4707e-003
 227.58200, 48.04917, 2.4781e-003
 228.08200, 48.16606, 2.4861e-003
 228.58200, 48.28310, 2.4938e-003
 229.08200, 48.40012, 2.5014e-003
 229.58200, 48.51730, 2.5086e-003
 230.08200, 48.63450, 2.5166e-003
 230.58200, 48.75175, 2.5244e-003
 231.08200, 48.86899, 2.5318e-003
 231.58200, 48.98635, 2.5403e-003
 232.08200, 49.10375, 2.5474e-003
 232.58200, 49.22112, 2.5551e-003
 233.08200, 49.33896, 2.5627e-003
 233.58200, 49.45688, 2.5707e-003
 234.08200, 49.57498, 2.5788e-003
 234.58200, 49.69297, 2.5866e-003
 235.08200, 49.81097, 2.5940e-003
 235.58200, 49.92910, 2.6015e-003
