#EXPORTTYPE:           ,DATA ALL                                                                                 
#FILE:                 ,oligHawk010s1ru4.ngb-sle                                                                 
#FORMAT:               ,NETZSCH5                                                                                 
#FTYPE:                ,ANSI                                                                                     
#IDENTITY:             ,oligoclase                                                                               
#DECIMAL:              ,POINT                                                                                    
#SEPARATOR:            ,COMMA                                                                                    
#MTYPE:                ,DIL                                                                                      
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                         
#PROJECT:              ,feldspar                                                                                 
#DATE/TIME:            ,8/25/2019 9:38:56 AM (UTC-5)                                                             
#CORR. FILE:           ,                                                                                         
#TEMPCAL:              ,TCALZERO.TMX                                                                             
#LABORATORY:           ,Mineral Physics                                                                          
#OPERATOR:             ,PAG                                                                                      
#REMARK:               ,bare, norm start, for short plageioclase, sapphire std, long direction 010, run 4th time 
#SAMPLE:               ,hawk mine 010 run4                                                                       
#SAMPLE LENGTH /mm:    ,8.25                                                                                     
#MATERIAL:             ,sapphire stnd                                                                            
#MEASMODE:             ,Standard Expansion                                                                       
#PURGE GAS 1:          ,ARGON                                                                                    
#FLOW RATE 1 /(ml/min):,75                                                                                       
#M.RANGE /µm:          ,500                                                                                      
#CORR. CODE:           ,010                                                                                      
#RANGE:                ,20.0°C/3.0(K/min)/250.0°C                                                                
#SEGMENT:              ,S1/1                                                                                     
#SEG. 1:               ,20.0°C/3.0(K/min)/250.0°C                                                                

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
 22.66800, 0.00000, 2.4570e-005, 1.6580e-005
 23.16800, 4.62543, 4.4171e-005,-1.1040e-005
 23.66800, 4.97074, 3.3875e-005,-1.5467e-005
 24.16800, 5.22375, 2.4334e-005,-1.8087e-005
 24.66800, 5.43234, 1.5547e-005,-1.5483e-005
 25.16800, 5.61312, 7.4601e-006,-1.5680e-005
 25.66800, 5.77394,-3.3616e-008,-1.3521e-005
 26.16800, 5.92247,-6.4992e-006,-1.2353e-005
 26.66800, 6.06100,-1.2140e-005,-1.1849e-005
 27.16800, 6.19202,-1.7847e-005,-1.0512e-005
 27.66800, 6.31714,-2.3527e-005,-9.7561e-006
 28.16800, 6.43769,-2.7984e-005,-9.3094e-006
 28.66800, 6.55401,-3.2414e-005,-7.8600e-006
 29.16800, 6.66725,-3.5845e-005,-7.5421e-006
 29.66800, 6.77788,-3.9766e-005,-5.4765e-006
 30.16800, 6.88622,-4.1913e-005,-5.7298e-006
 30.66800, 6.99260,-4.4820e-005,-4.4922e-006
 31.16800, 7.09757,-4.6789e-005,-4.6511e-006
 31.66800, 7.20113,-4.9147e-005,-3.7396e-006
 32.16800, 7.30358,-5.1726e-005,-3.5264e-006
 32.66800, 7.40516,-5.2441e-005,-1.9424e-006
 33.16800, 7.50609,-5.3054e-005,-5.6272e-007
 33.66800, 7.60651,-5.3445e-005,-7.5764e-007
 34.16800, 7.70674,-5.3698e-005,-3.6254e-007
 34.66800, 7.80672,-5.3766e-005, 1.0537e-006
 35.16800, 7.90670,-5.2764e-005, 1.3030e-006
 35.66800, 8.00682,-5.1996e-005, 1.7890e-006
 36.16800, 8.10715,-5.1435e-005, 3.1518e-006
 36.66800, 8.20722,-4.9257e-005, 3.2682e-006
 37.16800, 8.30725,-4.7230e-005, 3.1022e-006
 37.66800, 8.40727,-4.5807e-005, 3.9985e-006
 38.16800, 8.50722,-4.3443e-005, 4.8310e-006
 38.66800, 8.60715,-4.1108e-005, 5.0075e-006
 39.16800, 8.70705,-3.8880e-005, 4.9243e-006
 39.66800, 8.80685,-3.5677e-005, 6.3207e-006
 40.16800, 8.90673,-3.2793e-005, 5.7612e-006
 40.66800, 9.00657,-3.0160e-005, 6.9206e-006
 41.16800, 9.10647,-2.6367e-005, 7.0897e-006
 41.66800, 9.20612,-2.2601e-005, 7.2558e-006
 42.16800, 9.30592,-1.8969e-005, 6.9227e-006
 42.66800, 9.40545,-1.5325e-005, 7.7955e-006
 43.16800, 9.50479,-1.1595e-005, 8.1537e-006
 43.66800, 9.60399,-7.3888e-006, 8.1313e-006
 44.16800, 9.70337,-3.4635e-006, 7.9168e-006
 44.66800, 9.80245, 8.3045e-007, 8.3420e-006
 45.16800, 9.90161, 4.9367e-006, 8.4836e-006
 45.66800,10.00029, 9.0833e-006, 8.4294e-006
 46.16800,10.09893, 1.3428e-005, 8.9490e-006
 46.66800,10.19726, 1.8010e-005, 9.2145e-006
 47.16800,10.29510, 2.2685e-005, 9.3503e-006
 47.66800,10.39249, 2.7116e-005, 9.0072e-006
 48.16800,10.48953, 3.1400e-005, 9.1260e-006
 48.66800,10.58634, 3.6382e-005, 9.2422e-006
 49.16800,10.68290, 4.1282e-005, 1.0270e-005
 49.66800,10.77912, 4.6419e-005, 9.6147e-006
 50.16800,10.87519, 5.1283e-005, 9.9270e-006
 50.66800,10.97117, 5.6325e-005, 9.6525e-006
 51.16800,11.06710, 6.1022e-005, 9.8695e-006
 51.66800,11.16257, 6.6213e-005, 9.8425e-006
 52.16800,11.25780, 7.0806e-005, 1.0345e-005
 52.66800,11.35266, 7.5961e-005, 1.0643e-005
 53.16800,11.44721, 8.1430e-005, 1.0421e-005
 53.66800,11.54129, 8.6532e-005, 1.0470e-005
 54.16800,11.63539, 9.1818e-005, 1.0441e-005
 54.66800,11.72922, 9.7212e-005, 1.1055e-005
 55.16800,11.82283, 1.0286e-004, 1.0862e-005
 55.66800,11.91621, 1.0771e-004, 1.0632e-005
 56.16800,12.00951, 1.1351e-004, 1.0939e-005
 56.66800,12.10268, 1.1892e-004, 1.1203e-005
 57.16800,12.19577, 1.2421e-004, 1.0838e-005
 57.66800,12.28862, 1.2990e-004, 1.1345e-005
 58.16800,12.38129, 1.3591e-004, 1.1719e-005
 58.66800,12.47375, 1.4189e-004, 1.1763e-005
 59.16800,12.56622, 1.4794e-004, 1.1271e-005
 59.66800,12.65869, 1.5299e-004, 1.1503e-005
 60.16800,12.75108, 1.5879e-004, 1.1726e-005
 60.66800,12.84330, 1.6494e-004, 1.1935e-005
 61.16800,12.93554, 1.7080e-004, 1.2031e-005
 61.66800,13.02780, 1.7659e-004, 1.2386e-005
 62.16800,13.12014, 1.8313e-004, 1.2612e-005
 62.66800,13.21234, 1.8952e-004, 1.2553e-005
 63.16800,13.30438, 1.9583e-004, 1.2807e-005
 63.66800,13.39645, 2.0226e-004, 1.3332e-005
 64.16800,13.48851, 2.0865e-004, 1.2509e-005
 64.66800,13.58050, 2.1506e-004, 1.2768e-005
 65.16800,13.67266, 2.2166e-004, 1.3090e-005
 65.66800,13.76481, 2.2831e-004, 1.3611e-005
 66.16800,13.85703, 2.3496e-004, 1.3741e-005
 66.66800,13.94958, 2.4234e-004, 1.3758e-005
 67.16800,14.04224, 2.4913e-004, 1.3649e-005
 67.66800,14.13487, 2.5543e-004, 1.3368e-005
 68.16800,14.22782, 2.6237e-004, 1.3743e-005
 68.66800,14.32110, 2.6909e-004, 1.3688e-005
 69.16800,14.41451, 2.7641e-004, 1.4250e-005
 69.66800,14.50806, 2.8340e-004, 1.4075e-005
 70.16800,14.60163, 2.9050e-004, 1.4159e-005
 70.66800,14.69510, 2.9761e-004, 1.4817e-005
 71.16800,14.78868, 3.0471e-004, 1.4239e-005
 71.66800,14.88220, 3.1223e-004, 1.4342e-005
 72.16800,14.97565, 3.1911e-004, 1.4379e-005
 72.66800,15.06903, 3.2637e-004, 1.4950e-005
 73.16800,15.16248, 3.3429e-004, 1.4431e-005
 73.66800,15.25605, 3.4134e-004, 1.4665e-005
 74.16800,15.34981, 3.4845e-004, 1.5181e-005
 74.66800,15.44379, 3.5617e-004, 1.5299e-005
 75.16800,15.53792, 3.6371e-004, 1.5376e-005
 75.66800,15.63228, 3.7145e-004, 1.5243e-005
 76.16800,15.72686, 3.7944e-004, 1.5222e-005
 76.66800,15.82138, 3.8680e-004, 1.5438e-005
 77.16800,15.91588, 3.9476e-004, 1.5665e-005
 77.66800,16.01043, 4.0256e-004, 1.5451e-005
 78.16800,16.10494, 4.1000e-004, 1.5744e-005
 78.66800,16.19969, 4.1835e-004, 1.5538e-005
 79.16800,16.29445, 4.2571e-004, 1.5117e-005
 79.66800,16.38919, 4.3356e-004, 1.5345e-005
 80.16800,16.48392, 4.4083e-004, 1.5307e-005
 80.66800,16.57880, 4.4868e-004, 1.5581e-005
 81.16800,16.67397, 4.5660e-004, 1.6083e-005
 81.66800,16.76926, 4.6491e-004, 1.5200e-005
 82.16800,16.86482, 4.7193e-004, 1.5658e-005
 82.66800,16.96029, 4.8029e-004, 1.5746e-005
 83.16800,17.05589, 4.8810e-004, 1.5705e-005
 83.66800,17.15175, 4.9578e-004, 1.5777e-005
 84.16800,17.24790, 5.0405e-004, 1.6227e-005
 84.66800,17.34407, 5.1183e-004, 1.5860e-005
 85.16800,17.44019, 5.1959e-004, 1.5882e-005
 85.66800,17.53636, 5.2776e-004, 1.6181e-005
 86.16800,17.63258, 5.3587e-004, 1.6233e-005
 86.66800,17.72907, 5.4407e-004, 1.5831e-005
 87.16800,17.82567, 5.5211e-004, 1.5855e-005
 87.66800,17.92233, 5.5978e-004, 1.6159e-005
 88.16800,18.01906, 5.6784e-004, 1.6066e-005
 88.66800,18.11576, 5.7583e-004, 1.6370e-005
 89.16800,18.21260, 5.8409e-004, 1.6284e-005
 89.66800,18.30973, 5.9221e-004, 1.5941e-005
 90.16800,18.40688, 6.0041e-004, 1.6552e-005
 90.66800,18.50415, 6.0876e-004, 1.6283e-005
 91.16800,18.60162, 6.1684e-004, 1.6362e-005
 91.66800,18.69925, 6.2465e-004, 1.6478e-005
 92.16800,18.79713, 6.3318e-004, 1.6744e-005
 92.66800,18.89511, 6.4150e-004, 1.6587e-005
 93.16800,18.99313, 6.4979e-004, 1.6299e-005
 93.66800,19.09128, 6.5835e-004, 1.7260e-005
 94.16800,19.18963, 6.6684e-004, 1.6726e-005
 94.66800,19.28800, 6.7465e-004, 1.6167e-005
 95.16800,19.38647, 6.8350e-004, 1.7040e-005
 95.66800,19.48494, 6.9151e-004, 1.6856e-005
 96.16800,19.58375, 6.9996e-004, 1.6898e-005
 96.66800,19.68285, 7.0839e-004, 1.7011e-005
 97.16800,19.78220, 7.1768e-004, 1.6774e-005
 97.66800,19.88152, 7.2577e-004, 1.6989e-005
 98.16800,19.98088, 7.3366e-004, 1.6951e-005
 98.66800,20.08028, 7.4238e-004, 1.7406e-005
 99.16800,20.17995, 7.5104e-004, 1.6713e-005
 99.66800,20.27975, 7.5992e-004, 1.7605e-005
100.16800,20.37937, 7.6824e-004, 1.7351e-005
100.66800,20.47912, 7.7674e-004, 1.6758e-005
101.16800,20.57889, 7.8539e-004, 1.7570e-005
101.66800,20.67889, 7.9428e-004, 1.7233e-005
102.16800,20.77887, 8.0250e-004, 1.6681e-005
102.66800,20.87861, 8.1089e-004, 1.7051e-005
103.16800,20.97857, 8.1971e-004, 1.7776e-005
103.66800,21.07851, 8.2859e-004, 1.6840e-005
104.16800,21.17846, 8.3712e-004, 1.7033e-005
104.66800,21.27856, 8.4543e-004, 1.7473e-005
105.16800,21.37893, 8.5442e-004, 1.7349e-005
105.66800,21.47950, 8.6300e-004, 1.6459e-005
106.16800,21.58058, 8.7119e-004, 1.7679e-005
106.66800,21.68151, 8.8008e-004, 1.7392e-005
107.16800,21.78262, 8.8864e-004, 1.7430e-005
107.66800,21.88380, 8.9735e-004, 1.7527e-005
108.16800,21.98479, 9.0598e-004, 1.8352e-005
108.66800,22.08590, 9.1561e-004, 1.8061e-005
109.16800,22.18716, 9.2462e-004, 1.7329e-005
109.66800,22.28854, 9.3308e-004, 1.7283e-005
110.16800,22.39018, 9.4205e-004, 1.9645e-005
110.66800,22.49196, 9.5157e-004, 1.7971e-005
111.16800,22.59388, 9.6063e-004, 1.7577e-005
111.66800,22.69608, 9.6877e-004, 1.8215e-005
112.16800,22.79824, 9.7873e-004, 1.8323e-005
112.66800,22.90041, 9.8798e-004, 1.9524e-005
113.16800,23.00258, 9.9760e-004, 1.8168e-005
113.66800,23.10468, 1.0066e-003, 1.7559e-005
114.16800,23.20679, 1.0149e-003, 1.7599e-005
114.66800,23.30892, 1.0240e-003, 1.7906e-005
115.16800,23.41108, 1.0338e-003, 1.9317e-005
115.66800,23.51348, 1.0432e-003, 1.9697e-005
116.16800,23.61583, 1.0524e-003, 1.7326e-005
116.66800,23.71832, 1.0611e-003, 1.7627e-005
117.16800,23.82082, 1.0698e-003, 1.7643e-005
117.66800,23.92355, 1.0785e-003, 1.8367e-005
118.16800,24.02629, 1.0888e-003, 1.8681e-005
118.66800,24.12909, 1.0970e-003, 1.7312e-005
119.16800,24.23198, 1.1059e-003, 1.7684e-005
119.66800,24.33502, 1.1146e-003, 1.8441e-005
120.16800,24.43802, 1.1244e-003, 1.8241e-005
120.66800,24.54131, 1.1333e-003, 1.9086e-005
121.16800,24.64471, 1.1431e-003, 1.8328e-005
121.66800,24.74838, 1.1520e-003, 1.7685e-005
122.16800,24.85264, 1.1606e-003, 1.8126e-005
122.66800,24.95712, 1.1706e-003, 1.9174e-005
123.16800,25.06161, 1.1794e-003, 1.7877e-005
123.66800,25.16626, 1.1884e-003, 1.8762e-005
124.16800,25.27095, 1.1978e-003, 1.8532e-005
124.66800,25.37547, 1.2077e-003, 1.8771e-005
125.16800,25.47987, 1.2160e-003, 1.6903e-005
125.66800,25.58369, 1.2246e-003, 1.7531e-005
126.16800,25.68751, 1.2336e-003, 1.7699e-005
126.66800,25.79161, 1.2429e-003, 1.7869e-005
127.16800,25.89568, 1.2516e-003, 1.7448e-005
127.66800,25.99972, 1.2602e-003, 1.8068e-005
128.16800,26.10379, 1.2693e-003, 1.7800e-005
128.66800,26.20807, 1.2777e-003, 1.7314e-005
129.16800,26.31244, 1.2873e-003, 1.8478e-005
129.66800,26.41696, 1.2962e-003, 1.7421e-005
130.16800,26.52125, 1.3046e-003, 1.7581e-005
130.66800,26.62566, 1.3137e-003, 1.7689e-005
131.16800,26.73025, 1.3222e-003, 1.7413e-005
131.66800,26.83498, 1.3316e-003, 1.8995e-005
132.16800,26.93990, 1.3405e-003, 1.7429e-005
132.66800,27.04480, 1.3493e-003, 1.8361e-005
133.16800,27.14955, 1.3584e-003, 1.7740e-005
